Date,Content
2021-04-08 4:26,"Miner payment: 0.0486 ETH (210 GWEI @ 230,747 gas [3])
0x57D7..7e91
https://etherscan.io/tx/0xb07cb5a360e3806e588c59c33a995510a57c71a02f339db71d553f3b05d2dd94
Miner: BeePool"
2021-04-08 4:27,"Miner payment: 0.1134 ETH (201 GWEI @ 562,657 gas [2])
0x2F17..3160
https://etherscan.io/tx/0x059725903d455cda53baf20a79a3824999a8eca717ccf9e27ff98eaa48b94e45
Miner: Sparkpool"
2021-04-08 4:28,"Miner payment: 0.1442 ETH (491 GWEI @ 293,524 gas [2])
0xd6Cc..9cb0
https://etherscan.io/tx/0x29e8c34291852bc114cd4d36c36c18d429295b0a1c867cf1b24b6710173856e7
Miner: f2pool"
2021-04-08 4:28,"Miner payment: 0.2421 ETH (633 GWEI @ 382,183 gas [3])
0xFA2e..0459
https://etherscan.io/tx/0x979331339d013e54d296a951692d7eff1998fac9e67a64683341375bbf0f540a
Miner: Sparkpool"
2021-04-08 4:29,"Miner payment: 0.131 ETH (514 GWEI @ 254,666 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x6456110c6b9ae5c61362285d39bf3c9dca8dee8723b6faf7b4381e8533a73fe4
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:29,"Miner payment: 0.0351 ETH (101 GWEI @ 347,832 gas [1])
0x3C65..8d3A
https://etherscan.io/tx/0xba77883a4063376487e2605019d986acc7946bd2569d8d0aa50558a4e1978672
Miner: Sparkpool"
2021-04-08 4:29,"Miner payment: 0.2188 ETH (940 GWEI @ 232,665 gas [3])
0x0000..0084
https://etherscan.io/tx/0x8dc54c53844e433b5935913285e7b0104e2b02210e73a172eb34582ae4357d6c
Miner: FlexPool"
2021-04-08 4:30,"Miner payment: 0.107 ETH (249 GWEI @ 428,122 gas [3])
0xFA2e..0459
https://etherscan.io/tx/0x5e1eeed282b6b86a01d84323d4b0271c0e25d63586cc77247711f7ad0ef0c4fa
Miner: Sparkpool"
2021-04-08 4:31,"Miner payment: 0.127 ETH (500 GWEI @ 253,965 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x403c06125e180eabe9df9bf2641c55824c1401bac2d1901166071839df432e2b
Miner: Sparkpool"
2021-04-08 4:31,"Miner payment: 0.0826 ETH (224 GWEI @ 368,104 gas [3])
0x0000..9241
https://etherscan.io/tx/0x4e87ab4f6a7106a34b56b894dfb9e33e6fa9ca32dd27b3c95f731e8039ec055c
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
